Country Code,Series Code,YR1998,YR1999,YR2000,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,Most_Recent
ARM,EN.ATM.CO2E.PC,1.081692124,0.975803629,1.128918604,1.161167684,1.003201493,1.136138307,1.214751524,1.460030477,1.481177962,1.726570171,1.911537642,1.509411878,1.465621895,1.710070765,1.976060074,1.899711734,1.90275891,1.90275891
ARM,EN.ATM.CO2E.KD.GD,0.853355331,0.740511941,0.80388902,0.75007157,0.56938996,0.56244892,0.541280013,0.567666626,0.504860952,0.512919484,0.52671661,0.48119301,0.455390955,0.507187634,0.547919237,0.511972229,0.497148756,0.497148756
ARM,EN.CO2.ETOT.ZS,54.57317073,49.82935154,46.78362573,44.50867052,31.61512027,26.91131498,22.25433526,23.00242131,21.68674699,22.5,19.73434535,15.22248244,15.55555556,20.34261242,26.28676471,25.19083969,29.69348659,29.69348659
ARM,EN.ATM.CO2E.GF.ZS,83.09705562,75.54744526,74.07407407,73.80952381,65.90361446,65.02673797,67.90744467,70.42965459,71.71548117,74.29398986,74.20844327,72.75021026,70.08695652,76.4354959,80.2318094,80.5203469,80.63660477,80.63660477
ARM,EN.ATM.CO2E.LF.ZS,12.1046892,19.46472019,22.75132275,21.94616977,26.86746988,27.27272727,25.25150905,22.57792755,21.0041841,18.24764663,18.60158311,21.86711522,23.91304348,19.16480239,15.71152608,15.47698466,15.51724138,15.51724138
ARM,EN.CO2.MANF.ZS,29.57317073,35.15358362,21.05263158,23.12138728,27.49140893,30.27522936,31.79190751,32.92978208,34.69879518,24.375,25.42694497,22.4824356,12.83950617,12.84796574,12.31617647,12.59541985,11.11111111,11.11111111
ARM,EN.CO2.OTHX.ZS,3.658536585,3.412969283,6.432748538,6.069364162,8.934707904,10.39755352,10.11560694,10.16949153,9.638554217,8.75,8.159392789,9.367681499,16.54320988,14.98929336,14.33823529,14.3129771,0.383141762,0.383141762
ARM,EN.CO2.BLDG.ZS,10.36585366,9.556313993,9.064327485,9.826589595,13.40206186,14.67889908,18.49710983,17.67554479,18.07228916,22.29166667,22.77039848,26.2295082,23.95061728,24.19700214,23.16176471,23.66412214,31.03448276,31.03448276
ARM,EN.ATM.CO2E.SF.ZS,0.436205016,0.243309002,0,0,1.56626506,2.139037433,0,0.084245998,0.083682008,0.289645185,0.329815303,0,0.260869565,0.149142431,0.128783001,0.066711141,0,0
ARM,EN.CO2.TRAN.ZS,2.134146341,2.389078498,16.66666667,16.47398844,18.55670103,18.04281346,17.6300578,16.22276029,15.90361446,22.08333333,23.90891841,26.69789227,31.11111111,27.62312634,23.89705882,24.42748092,27.77777778,27.77777778
ARM,EN.ATM.GHGT.ZG,-72.75752236,-74.16486354,-72.22914128,-72.1129193,-73.87682537,-71.79981982,-69.1326456,-66.02569942,-64.64400207,-62.29782037,-49.57531317,-54.56883479,-53.93013435,-49.78658312,-50.18426544,,,-50.18426544
ARM,EN.ATM.GHGT.KT.CE,6737.042,6389.0077,6867.7102,6896.4518,6460.2393,6973.88104,7633.471,8401.8162,8743.5088,9323.71758,12469.983,11235.08927,11393.03935,12417.73612,12319.38961,,,12319.38961
ABW,EN.ATM.CO2E.KT,1796.83,1807.831,2379.883,2409.219,2438.555,2563.233,2618.238,2720.914,2717.247,2823.59,2658.575,2629.239,2508.228,2500.894,1349.456,861.745,872.746,872.746
ABW,EN.ATM.CO2E.PC,20.58766915,20.31156677,26.19487524,25.93402441,25.67116178,26.42045209,26.51729342,27.20070778,26.94826047,27.895574,26.23084664,25.91583295,24.67052887,24.5058352,13.15554169,8.351294252,8.408362638,8.408362638
ABW,EN.ATM.CO2E.KD.GD,,,,,,,,,,,,,1.016421779,,,,,1.016421779
ABW,EN.CO2.ETOT.ZS,,,,,,,,,,,,,,,,,,
ABW,EN.ATM.CO2E.GF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABW,EN.ATM.CO2E.LF.ZS,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
ABW,EN.CO2.MANF.ZS,,,,,,,,,,,,,,,,,,
